game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor
2017_04_SF_ARI,2017,4,ARI,SF,2017-10-01T00:00:00,18,15,3,33,1,1,4,1,-0.1388736367225647,-0.08239878714084625,-0.0996006429195404,0.03511163219809532,0.07823742553591728,0.38545453548431396,0.38655462861061096,0.3272727131843567,0.6382978558540344,0.3962264060974121,0.2916666567325592,3,3,ARI Stadium,0
2017_04_PHI_LAC,2017,4,LAC,PHI,2017-10-01T00:00:00,24,26,-2,50,0,1,4,0,-0.06731188297271729,0.04576834663748741,0.028622005134820938,-0.018505463376641273,-0.1602076981216669,0.4273858964443207,0.45018449425697327,1.1111111640930176,0.9230769276618958,0.31578946113586426,0.47826087474823,3,3,LAC Stadium,1
2017_04_NYG_TB,2017,4,TB,NYG,2017-10-01T00:00:00,25,23,2,48,1,1,4,0,0.026163311675190926,-0.022168710827827454,-0.14186203479766846,0.013491020537912846,0.20368507783859968,0.4610389471054077,0.39912280440330505,0.782608687877655,0.5625,0.5199999809265137,0.34210526943206787,2,3,TB Stadium,1
2017_04_OAK_DEN,2017,4,DEN,OAK,2017-10-01T00:00:00,16,10,6,26,1,1,4,1,-0.03276343271136284,-0.10123824328184128,0.0,0.0,0.0,0.4377358555793762,0.0,0.761904776096344,0.0,0.5102040767669678,0.0,3,0,DEN Stadium,1
2017_04_IND_SEA,2017,4,SEA,IND,2017-10-01T00:00:00,46,18,28,64,1,1,4,0,-0.042120497673749924,0.001942179980687797,-0.14402972161769867,0.017544694244861603,0.11751173820812255,0.3929961025714874,0.35458168387413025,0.6315789222717285,0.7894736528396606,0.3199999928474426,0.3404255211353302,3,3,SEA Stadium,1
2017_04_NO_MIA,2017,4,MIA,NO,2017-10-01T00:00:00,0,20,-20,20,0,1,4,0,-0.08410738408565521,-0.019393134862184525,0.09342920780181885,0.10079115629196167,-0.057352300733327866,0.3742331266403198,0.472573846578598,0.30000001192092896,0.6382978558540344,0.3103448152542114,0.4166666567325592,2,3,MIA Stadium,1
2017_04_WAS_KC,2017,4,KC,WAS,2017-10-02T00:00:00,29,20,9,49,1,1,4,0,0.1458585113286972,-0.0316166877746582,-0.03556219860911369,-0.08530808985233307,0.12772930786013603,0.4913793206214905,0.4166666567325592,1.028571367263794,0.4615384638309479,0.34210526943206787,0.380952388048172,3,3,KC Stadium,1
2017_05_NE_TB,2017,5,TB,NE,2017-10-05T00:00:00,14,19,-5,33,0,1,5,0,0.009516218677163124,-0.01846841350197792,0.11712327599525452,0.13797758519649506,0.048838941380381584,0.4444444477558136,0.46978020668029785,0.8108108043670654,0.7586206793785095,0.4324324429035187,0.44262295961380005,3,4,TB Stadium,1
2017_05_BUF_CIN,2017,5,CIN,BUF,2017-10-08T00:00:00,20,16,4,36,1,1,5,0,-0.12248601764440536,-0.10334861278533936,-0.03229580447077751,-0.09575003385543823,-0.08259163424372673,0.39677420258522034,0.3746130168437958,0.6818181872367859,0.800000011920929,0.3636363744735718,0.4193548262119293,4,4,CIN Stadium,1
2017_05_NYJ_CLE,2017,5,CLE,NYJ,2017-10-08T00:00:00,14,17,-3,31,0,1,5,0,-0.12019679695367813,0.0304410383105278,-0.05738484114408493,-0.019683074206113815,-0.11293606832623482,0.3843930661678314,0.43670886754989624,1.0243902206420898,0.8888888955116272,0.2769230902194977,0.3499999940395355,4,4,CLE Stadium,1
