team,season,week,off_epa_play,def_epa_play,off_success_rate,def_success_rate,games_played,redzone_td_pct,third_down_pct
MIA,2024,9,-0.09379573911428452,0.018991883844137192,0.44545453786849976,0.4516128897666931,8,0.875,0.40350877192982454
MIA,2024,10,-0.0912204384803772,-0.007823850028216839,0.4456671178340912,0.4554455578327179,9,0.8888888888888888,0.4094488188976378
MIA,2024,11,-0.050076402723789215,0.00553536880761385,0.45859086513519287,0.4611465036869049,10,0.9,0.4397163120567376
MIA,2024,12,-0.042470142245292664,-0.01564982533454895,0.46248599886894226,0.4558992087841034,11,0.9090909090909091,0.43506493506493504
MIA,2024,13,-0.03151379153132439,0.0067462860606610775,0.46741345524787903,0.460317462682724,12,0.9166666666666666,0.42011834319526625
MIA,2024,14,-0.009969177655875683,0.023409977555274963,0.48041045665740967,0.46950629353523254,13,0.9230769230769231,0.40782122905027934
MIA,2024,15,-0.02136809751391411,0.015311991795897484,0.4796536862850189,0.4690346121788025,14,0.9285714285714286,0.39690721649484534
MIA,2024,16,-0.007225431967526674,0.014917665161192417,0.4858299493789673,0.4716821610927582,15,0.9333333333333333,0.391304347826087
MIA,2024,17,-0.011242657899856567,-0.006942006293684244,0.48091602325439453,0.4650980532169342,16,0.9375,0.37727272727272726
MIA,2024,18,-0.01473420113325119,-0.0025079238694161177,0.4803149700164795,0.46602657437324524,17,0.9411764705882353,0.3706896551724138
JAX,2024,1,-0.04175207391381264,-0.006285218521952629,0.4305555522441864,0.43529412150382996,1,1.0,0.16666666666666666
JAX,2024,2,-0.038092631846666336,0.021262478083372116,0.4452054798603058,0.4393063485622406,2,1.0,0.2727272727272727
JAX,2024,3,-0.08525267243385315,0.12126456946134567,0.4382978677749634,0.47200000286102295,3,1.0,0.25
JAX,2024,4,-0.03650670871138573,0.11515652388334274,0.4437299072742462,0.47507330775260925,4,1.0,0.2708333333333333
JAX,2024,5,0.016811875626444817,0.1275351196527481,0.45994833111763,0.480369508266449,5,1.0,0.2711864406779661
JAX,2024,6,0.016054973006248474,0.14958108961582184,0.4559139907360077,0.490234375,6,1.0,0.30666666666666664
JAX,2024,7,0.04497253894805908,0.12746256589889526,0.47026023268699646,0.48047539591789246,7,1.0,0.3411764705882353
JAX,2024,8,0.04713990539312363,0.12799133360385895,0.47479674220085144,0.4815905690193176,8,1.0,0.3125
JAX,2024,9,0.03568867966532707,0.11366837471723557,0.4692082107067108,0.475452184677124,9,1.0,0.3177570093457944
JAX,2024,10,0.01881030946969986,0.0999748706817627,0.4654002785682678,0.4741676151752472,10,1.0,0.3305084745762712
JAX,2024,11,0.001132428995333612,0.1325310319662094,0.46268656849861145,0.4927234947681427,11,0.9090909090909091,0.3178294573643411
JAX,2024,12,0.001132428995333612,0.1325310319662094,0.46268656849861145,0.4927234947681427,11,0.9090909090909091,0.3178294573643411
JAX,2024,13,0.001722157932817936,0.12910541892051697,0.45842695236206055,0.48991355299949646,12,0.9166666666666666,0.32413793103448274
JAX,2024,14,-0.00029315671417862177,0.1141628623008728,0.4563409686088562,0.48430493474006653,13,0.9230769230769231,0.3333333333333333
JAX,2024,15,0.012257011607289314,0.1257210224866867,0.46742209792137146,0.4827875792980194,14,0.9285714285714286,0.3502824858757062
JAX,2024,16,-0.00497067254036665,0.10732400417327881,0.4578947424888611,0.47737908363342285,15,0.9333333333333333,0.3541666666666667
JAX,2024,17,0.003087510820478201,0.10176682472229004,0.45995044708251953,0.4783882796764374,16,0.9375,0.36893203883495146
JAX,2024,18,0.006728423293679953,0.09815020859241486,0.4607692360877991,0.4829235076904297,17,0.9411764705882353,0.3665158371040724
LA,2024,1,0.05288204550743103,0.09335210174322128,0.49462366104125977,0.5512820482254028,1,1.0,0.42857142857142855
LA,2024,2,-0.02894076146185398,0.20894716680049896,0.5094339847564697,0.5696202516555786,2,1.0,0.32
LA,2024,3,0.030812082812190056,0.18376541137695312,0.5064377784729004,0.5514403581619263,3,1.0,0.3684210526315789
LA,2024,4,0.0338752306997776,0.15298132598400116,0.5113268494606018,0.545171320438385,4,1.0,0.3877551020408163
LA,2024,5,0.009290700778365135,0.12466435134410858,0.5174999833106995,0.5251256227493286,5,1.0,0.4153846153846154
LA,2024,6,0.009290700778365135,0.12466435134410858,0.5174999833106995,0.5251256227493286,5,1.0,0.4153846153846154
LA,2024,7,-0.041108474135398865,0.049408990889787674,0.5053078532218933,0.49696969985961914,6,1.0,0.38666666666666666
LA,2024,8,-0.010769946500658989,0.05452977865934372,0.5044563412666321,0.49642857909202576,7,1.0,0.4044943820224719
LA,2024,9,-0.014966321177780628,0.02258875034749508,0.4916030466556549,0.4871406853199005,8,1.0,0.3942307692307692
LA,2024,10,-0.03653553128242493,0.014449313282966614,0.49056604504585266,0.48351648449897766,9,0.8888888888888888,0.3728813559322034
LA,2024,11,-0.015749135985970497,0.020806342363357544,0.4950617253780365,0.48602673411369324,10,0.9,0.36220472440944884
LA,2024,12,-0.015648141503334045,0.045657213777303696,0.4960629940032959,0.4895718991756439,11,0.9090909090909091,0.34057971014492755
LA,2024,13,-0.006148986984044313,0.03975222632288933,0.4963427484035492,0.4843907356262207,12,0.9166666666666666,0.348993288590604
LA,2024,14,0.01801913045346737,0.05979061871767044,0.5019011497497559,0.48928239941596985,13,0.9230769230769231,0.3855421686746988
LA,2024,15,0.012985187582671642,0.04518681392073631,0.49823322892189026,0.4803149700164795,14,0.8571428571428571,0.3756906077348066
LA,2024,16,0.015915604308247566,0.03415112942457199,0.49623429775238037,0.478723406791687,15,0.8666666666666667,0.3802083333333333
LA,2024,17,0.012567687779664993,0.02729317545890808,0.4944707751274109,0.47984790802001953,16,0.875,0.3798076923076923
LA,2024,18,0.0174803975969553,0.035705313086509705,0.4944320619106293,0.48449891805648804,17,0.8823529411764706,0.37668161434977576
DET,2024,1,0.09335210174322128,0.05288204550743103,0.5512820482254028,0.49462366104125977,1,1.0,0.46153846153846156
DET,2024,2,-0.004924613516777754,0.02396000735461712,0.49438202381134033,0.48076921701431274,2,1.0,0.41935483870967744
DET,2024,3,-0.005703703034669161,-0.026578351855278015,0.5057034492492676,0.4780701696872711,3,1.0,0.4222222222222222
DET,2024,4,0.06362968683242798,0.007652527652680874,0.5196374654769897,0.49253731966018677,4,1.0,0.43137254901960786
DET,2024,5,0.06362968683242798,0.007652527652680874,0.5196374654769897,0.49253731966018677,4,1.0,0.43137254901960786
DET,2024,6,0.11212480813264847,-0.04944847151637077,0.5168269276618958,0.4809523820877075,5,1.0,0.4126984126984127
DET,2024,7,0.1011742502450943,-0.04064691439270973,0.5101214647293091,0.4657258093357086,6,1.0,0.410958904109589
DET,2024,8,0.11046504974365234,-0.08643615990877151,0.5179211497306824,0.4611486494541168,7,1.0,0.40963855421686746
DET,2024,9,0.11016084253787994,-0.08279499411582947,0.5158730149269104,0.462797611951828,8,1.0,0.4020618556701031
DET,2024,10,0.08867134153842926,-0.08750542253255844,0.5077356100082397,0.45778363943099976,9,1.0,0.4144144144144144
DET,2024,11,0.1290050745010376,-0.09609919041395187,0.5261845588684082,0.45575758814811707,10,1.0,0.4297520661157025
DET,2024,12,0.12746849656105042,-0.10200891643762589,0.5258427262306213,0.4485458731651306,11,1.0,0.4485294117647059
DET,2024,13,0.12147702276706696,-0.0925450548529625,0.5236139893531799,0.447638601064682,12,1.0,0.44666666666666666
DET,2024,14,0.11755120009183884,-0.07880038768053055,0.5252808928489685,0.45062321424484253,13,1.0,0.45180722891566266
DET,2024,15,0.12309739738702774,-0.043578170239925385,0.5269922614097595,0.46248897910118103,14,1.0,0.45251396648044695
DET,2024,16,0.13326004147529602,-0.040826790034770966,0.5304487347602844,0.46299341320991516,15,1.0,0.4536082474226804
DET,2024,17,0.14610356092453003,-0.02532797120511532,0.5326821804046631,0.47190147638320923,16,1.0,0.46634615384615385
DET,2024,18,0.13956421613693237,-0.03834669664502144,0.5314487814903259,0.46555474400520325,17,1.0,0.46153846153846156
LAC,2024,1,-0.12475147843360901,-0.3124944567680359,0.3636363744735718,0.3918918967247009,1,1.0,0.25
LAC,2024,2,-0.033198487013578415,-0.3455946743488312,0.4394904375076294,0.3525179922580719,2,1.0,0.40625
LAC,2024,3,-0.05631798133254051,-0.20041944086551666,0.4337899684906006,0.40454545617103577,3,0.6666666666666666,0.36363636363636365
LAC,2024,4,-0.09813991189002991,-0.17593877017498016,0.4047619104385376,0.4203389883041382,4,0.75,0.3508771929824561
LAC,2024,5,-0.09813991189002991,-0.17593877017498016,0.4047619104385376,0.4203389883041382,4,0.75,0.3508771929824561
LAC,2024,6,-0.052836380898952484,-0.15119041502475739,0.4190231263637543,0.4344262182712555,5,0.8,0.42105263157894735
LAC,2024,7,-0.026291653513908386,-0.11231937259435654,0.4304068386554718,0.4487471580505371,6,0.6666666666666666,0.4222222222222222
LAC,2024,8,-0.01604253239929676,-0.12860262393951416,0.4228675067424774,0.43609023094177246,7,0.7142857142857143,0.4019607843137255
LAC,2024,9,-0.021763451397418976,-0.14966067671775818,0.4121405780315399,0.43471336364746094,8,0.75,0.39316239316239315
LAC,2024,10,0.0004045710666105151,-0.1295977383852005,0.42406877875328064,0.4415954351425171,9,0.7777777777777778,0.3937007874015748
LAC,2024,11,0.004953053779900074,-0.11202265322208405,0.4305732548236847,0.4390547275543213,10,0.8,0.3829787234042553
LAC,2024,12,0.013082850724458694,-0.08161132037639618,0.43807339668273926,0.4433106482028961,11,0.8181818181818182,0.379746835443038
LAC,2024,13,0.002835686784237623,-0.08983390778303146,0.4351554214954376,0.446153849363327,12,0.75,0.37058823529411766
LAC,2024,14,0.008605146780610085,-0.0752146914601326,0.43396225571632385,0.4533458948135376,13,0.7692307692307693,0.375
