game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor,is_playoff,game_type,gameday
2015_03_IND_TEN,2015,3,TEN,IND,2015-09-27T00:00:00,33.0,35.0,-2.0,68.0,0,1,3,1,0.0016864198260009,-0.1203367337584495,-0.1324717998504638,0.043435875326395,0.2979308287613094,0.4363636374473572,0.4207316935062408,1.3333333730697632,0.4615384340286255,0.4482758641242981,0.5,2,2,TEN Stadium,1,False,,
2015_03_SF_ARI,2015,3,ARI,SF,2015-09-27T00:00:00,47.0,7.0,40.0,54.0,1,1,3,1,0.2275443971157074,-0.0312586389482021,0.0189903322607278,0.085286408662796,0.3250991124659776,0.4705882370471954,0.4867724776268005,1.5,0.3913043439388275,0.5263158082962036,0.3636363744735718,2,2,ARI Stadium,0,False,,
2015_03_BUF_MIA,2015,3,MIA,BUF,2015-09-27T00:00:00,14.0,41.0,-27.0,55.0,0,1,3,1,-0.0325916856527328,-0.0675936490297317,0.0323747023940086,0.0318411216139793,0.0344683825969696,0.4076433181762695,0.395348846912384,0.75,1.1428571939468384,0.3448275923728943,0.3461538553237915,2,2,MIA Stadium,1,False,,
2015_03_CHI_SEA,2015,3,SEA,CHI,2015-09-27T00:00:00,26.0,0.0,26.0,26.0,1,1,3,0,-0.0607240758836269,-0.0176725033670663,0.0250762309879064,0.3109171688556671,0.2427893653512001,0.4576271176338196,0.4426229596138,0.6206896305084229,0.4137930870056152,0.3870967626571655,0.4242424368858337,2,2,SEA Stadium,1,False,,
2015_03_DEN_DET,2015,3,DET,DEN,2015-09-27T00:00:00,12.0,24.0,-12.0,36.0,0,1,3,0,-0.0409070551395416,0.0492178611457347,-0.0591921284794807,-0.1490776687860489,-0.1800104565918445,0.4387096762657165,0.375,1.0,1.058823585510254,0.4615384638309479,0.3846153914928436,2,2,DET Stadium,0,False,,
2015_03_KC_GB,2015,3,GB,KC,2015-09-28T00:00:00,38.0,28.0,10.0,66.0,1,1,3,0,0.1891459822654724,0.0590694621205329,-0.0785567909479141,-0.0905565842986106,0.1180767267942428,0.5,0.443113774061203,0.9090909361839294,0.6923076510429382,0.4583333432674408,0.1666666716337204,2,2,GB Stadium,1,False,,
2015_04_BAL_PIT,2015,4,PIT,BAL,2015-10-01T00:00:00,20.0,23.0,-3.0,43.0,0,1,4,1,0.145877793431282,0.0220328792929649,0.0001225561136379,0.0400284528732299,0.1637508108979091,0.471615731716156,0.4398496150970459,1.0,0.409090906381607,0.5121951103210449,0.3913043439388275,3,3,PIT Stadium,1,False,,
2015_04_NYJ_MIA,2015,4,MIA,NYJ,2015-10-04T00:00:00,14.0,27.0,-13.0,41.0,0,1,4,1,-0.0691138729453086,0.0313486009836196,-0.0742459669709205,-0.1821140795946121,-0.2083305865526199,0.4314516186714172,0.4325396716594696,0.4615384638309479,1.116279125213623,0.3255814015865326,0.4375,3,3,MIA Stadium,1,False,,
2015_04_HOU_ATL,2015,4,ATL,HOU,2015-10-04T00:00:00,48.0,21.0,27.0,69.0,1,1,4,0,0.1028522178530693,0.0283122900873422,-0.0986295491456985,-0.0885458216071128,0.0846236553043127,0.4760147631168365,0.3928571343421936,0.923076868057251,0.8780487775802612,0.5319148898124695,0.3620689511299133,3,3,ATL Stadium,0,False,,
2015_04_NYG_BUF,2015,4,BUF,NYG,2015-10-04T00:00:00,10.0,24.0,-14.0,34.0,0,1,4,0,0.1021599844098091,-0.0208828579634428,0.0997305735945701,0.0737980753183364,0.0971103440970182,0.4173228442668915,0.4199999868869781,0.9090909361839294,0.409090906381607,0.4250000119209289,0.4565217494964599,3,3,BUF Stadium,1,False,,
